"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","27-Mar-2017","       2427.20","       2426.95","       2440.00","       2406.00","       2411.00","       2412.05","       2418.60","    1090635","          2637809010.95","      52262","     804912","         73.80"
"TCS","EQ","28-Mar-2017","       2412.05","       2410.00","       2443.40","       2410.00","       2430.70","       2429.95","       2431.89","     576579","          1402176401.25","      35869","     349059","         60.54"
"TCS","EQ","29-Mar-2017","       2429.95","       2436.00","       2450.80","       2425.60","       2443.10","       2444.60","       2439.98","     858882","          2095657290.00","      58433","     601243","         70.00"
"TCS","EQ","30-Mar-2017","       2444.60","       2444.90","       2465.00","       2435.00","       2436.70","       2441.00","       2448.49","    1493043","          3655700075.95","      63889","    1139608","         76.33"
"TCS","EQ","31-Mar-2017","       2441.00","       2438.40","       2440.85","       2415.00","       2423.10","       2431.80","       2426.64","     933522","          2265321422.25","      43625","     604696","         64.78"
"TCS","EQ","03-Apr-2017","       2431.80","       2435.00","       2435.00","       2408.20","       2410.00","       2411.70","       2418.00","     598444","          1447037676.50","      29133","     396994","         66.34"
"TCS","EQ","05-Apr-2017","       2411.70","       2419.90","       2419.90","       2395.00","       2404.50","       2401.25","       2401.62","    1452784","          3489032404.05","      96591","    1059317","         72.92"
"TCS","EQ","06-Apr-2017","       2401.25","       2400.00","       2410.00","       2392.55","       2395.00","       2400.05","       2399.64","     860352","          2064532792.95","      35993","     617261","         71.75"
"TCS","EQ","07-Apr-2017","       2400.05","       2394.90","       2433.25","       2392.15","       2432.00","       2429.05","       2418.91","    1138506","          2753948935.30","      70769","     753307","         66.17"
"TCS","EQ","10-Apr-2017","       2429.05","       2432.00","       2449.00","       2405.00","       2408.00","       2422.25","       2434.88","    1271632","          3096272696.20","      47017","     938567","         73.81"
"TCS","EQ","11-Apr-2017","       2422.25","       2417.30","       2443.10","       2406.00","       2419.65","       2419.30","       2429.55","     778892","          1892359268.15","      36564","     584733","         75.07"
"TCS","EQ","12-Apr-2017","       2419.30","       2422.50","       2428.00","       2383.00","       2392.00","       2393.25","       2403.41","     525269","          1262434613.70","      36629","     331274","         63.07"
"TCS","EQ","13-Apr-2017","       2393.25","       2400.00","       2409.00","       2321.05","       2335.00","       2328.65","       2340.72","    1250236","          2926458638.75","      94763","     817092","         65.36"
"TCS","EQ","17-Apr-2017","       2328.65","       2330.40","       2332.90","       2295.15","       2319.00","       2314.85","       2309.69","    1135441","          2622515682.00","      30523","     537794","         47.36"
"TCS","EQ","18-Apr-2017","       2314.85","       2330.00","       2334.20","       2302.05","       2302.05","       2308.80","       2319.46","     865310","          2007051615.65","      32093","     271082","         31.33"
"TCS","EQ","19-Apr-2017","       2308.80","       2263.50","       2348.70","       2252.80","       2302.00","       2299.15","       2297.47","    2813406","          6463724125.80","     118781","     928052","         32.99"
"TCS","EQ","20-Apr-2017","       2299.15","       2305.30","       2332.00","       2290.95","       2325.00","       2325.50","       2309.27","     634421","          1465051937.20","      58222","     372946","         58.79"
"TCS","EQ","21-Apr-2017","       2325.50","       2329.10","       2335.65","       2301.00","       2312.00","       2310.80","       2313.83","     580577","          1343353656.60","      29955","     361176","         62.21"
"TCS","EQ","24-Apr-2017","       2310.80","       2300.00","       2339.65","       2282.50","       2328.00","       2328.10","       2317.25","    1000010","          2317273548.35","      48463","     638695","         63.87"
"TCS","EQ","25-Apr-2017","       2328.10","       2328.00","       2344.45","       2302.70","       2310.00","       2311.50","       2313.08","    1574355","          3641606876.45","      83159","    1306150","         82.96"
"TCS","EQ","26-Apr-2017","       2311.50","       2340.00","       2343.95","       2303.05","       2310.00","       2310.35","       2312.81","    1093719","          2529562499.45","      47332","     845965","         77.35"
"TCS","EQ","27-Apr-2017","       2310.35","       2306.05","       2327.80","       2277.65","       2289.80","       2302.65","       2307.22","    2886593","          6659993493.20","      90044","    2491865","         86.33"
"TCS","EQ","28-Apr-2017","       2302.65","       2294.00","       2298.75","       2268.00","       2275.00","       2273.15","       2281.49","    1270255","          2898077017.40","      71376","     962404","         75.76"
"TCS","EQ","02-May-2017","       2273.15","       2294.00","       2302.00","       2280.00","       2288.15","       2289.90","       2291.39","    1191348","          2729841238.20","      84453","     954608","         80.13"
"TCS","EQ","03-May-2017","       2289.90","       2295.00","       2345.00","       2268.50","       2337.80","       2337.30","       2321.66","    1757203","          4079634981.50","      90354","    1185505","         67.47"
"TCS","EQ","04-May-2017","       2337.30","       2349.95","       2350.00","       2308.80","       2331.90","       2330.10","       2326.77","    1354104","          3150690119.85","      64467","    1007903","         74.43"
"TCS","EQ","05-May-2017","       2330.10","       2308.00","       2332.50","       2302.50","       2323.00","       2320.50","       2319.55","     841237","          1951289536.65","      44152","     484888","         57.64"
"TCS","EQ","08-May-2017","       2320.50","       2321.00","       2347.40","       2317.70","       2342.00","       2342.45","       2337.57","     535891","          1252684796.20","      40124","     344969","         64.37"
"TCS","EQ","09-May-2017","       2342.45","       2343.95","       2361.00","       2332.55","       2355.00","       2352.55","       2349.47","     895135","          2103094502.80","      56506","     663864","         74.16"
"TCS","EQ","10-May-2017","       2352.55","       2355.00","       2356.15","       2316.00","       2335.75","       2332.45","       2330.31","     603194","          1405627272.25","      50299","     381618","         63.27"
